dataset,baseline,baseline_key,n_trials,best_hparams,best_val_pop_auc,auc_no_extended,auc_has_extended,auc_pop_weighted,n_no_extended,n_has_extended,n_train,n_test,elapsed_sec,seed,date
MovieAugV2,OCDS,ocds,15,"{""gamma"": 0.10842803240663541, ""lam1"": 0.0020885631616124447, ""n_passes"": 3, ""hedge_eta"": 2.5653590634508396, ""ridge_G"": 0.01613586197110992}",0.8215680116567023,0.6577287999242853,0.7346249364319959,0.7163461224412994,5347,17147,89972,22494,188.4,42,2026-05-02
WeatherAUS,PUFE,pufe,15,"{""lr"": 0.462323200727164, ""hedge_eta"": 2.2850721529185187, ""n_passes"": 5, ""ridge"": 0.012500649537366364}",0.8613851823723785,0.8392472007641515,0.8746166675351891,0.8636534884646628,8815,19624,113754,28439,133.1,42,2026-05-02
WIDS,OCDS,ocds,15,"{""gamma"": 0.31354211705315427, ""lam1"": 0.014909003628981848, ""n_passes"": 2, ""hedge_eta"": 4.235294798867899, ""ridge_G"": 0.016414083340694222}",0.8120700602070302,0.6851769315011731,0.7576418889474525,0.7154974106158324,10668,7675,73370,18343,198.5,42,2026-05-02
WeatherAUS,OCDS,ocds,15,"{""gamma"": 0.9732682926637299, ""lam1"": 0.002353383994946244, ""n_passes"": 3, ""hedge_eta"": 5.612370807468103, ""ridge_G"": 0.000615062293652091}",0.8512934305592487,0.8239877802710412,0.8622824612980193,0.8504125779247358,8815,19624,113754,28439,219.7,42,2026-05-02
DiabetesRecord,OCDS,ocds,15,"{""gamma"": 0.1097398248249986, ""lam1"": 0.0022669369809392753, ""n_passes"": 3, ""hedge_eta"": 4.083243278789585, ""ridge_G"": 0.015679029737071092}",0.5914519222700897,0.5831446214202682,0.6058907378519911,0.5965158154413729,8389,11965,81412,20354,225.5,42,2026-05-02
CreditRisk,EMLI,emli,15,"{""k"": 64, ""margin"": 1.964101264569496, ""lr"": 0.0006115767405232331, ""n_epochs"": 30, ""triplet_weight"": 1.0489021148922577, ""consistency_weight"": 0.7005210494307716}",0.737744183181687,0.7367508174767492,0.7260991911275749,0.7356417168831415,14334,1666,64000,16000,464.6,42,2026-05-02
DiabetesRecord,EMLI,emli,15,"{""k"": 8, ""margin"": 1.5129047165156286, ""lr"": 0.000863093466784179, ""n_epochs"": 10, ""triplet_weight"": 1.0760243494092088, ""consistency_weight"": 0.29637037756151674}",0.5961250690908869,0.5772537710706174,0.6083455324404062,0.5955309119171106,8389,11965,81412,20354,624.9,42,2026-05-02
BankLoanSta,EMLI,emli,15,"{""k"": 64, ""margin"": 1.28426644097236, ""lr"": 0.0004589824181495653, ""n_epochs"": 30, ""triplet_weight"": 1.5944092675070962, ""consistency_weight"": 0.6738017242196918}",0.6596794821690171,0.6209837202227587,0.7134057254609595,0.6554802336779172,12535,7465,80000,20000,741.9,42,2026-05-02
WIDS,EMLI,emli,15,"{""k"": 64, ""margin"": 1.9815287811587092, ""lr"": 0.003062284852674335, ""n_epochs"": 30, ""triplet_weight"": 0.673051870086567, ""consistency_weight"": 0.2784755091975991}",0.8462787946414502,0.8318637922096217,0.8495693450764892,0.8392720742928801,10668,7675,73370,18343,771.3,42,2026-05-02
MovieAugV2,EMLI,emli,15,"{""k"": 8, ""margin"": 1.545491592372105, ""lr"": 0.0013260331922696556, ""n_epochs"": 10, ""triplet_weight"": 1.1413115275378245, ""consistency_weight"": 0.12287721406968567}",0.8471129027396824,0.6823656066628809,0.86651114106419,0.8227383050882053,5347,17147,89972,22494,869.8,42,2026-05-02
FlightDelay,EMLI,emli,15,"{""k"": 64, ""margin"": 0.8456604949950015, ""lr"": 0.00138387138648671, ""n_epochs"": 30, ""triplet_weight"": 1.173595341783569, ""consistency_weight"": 0.4111099546323648}",0.6194361844086548,0.6115427541208791,0.6016708913337777,0.6021644844731328,1000,19000,80000,20000,1040.9,42,2026-05-03
WeatherAUS,EMLI,emli,15,"{""k"": 64, ""margin"": 1.28426644097236, ""lr"": 0.0004589824181495653, ""n_epochs"": 30, ""triplet_weight"": 1.5944092675070962, ""consistency_weight"": 0.6738017242196918}",0.862183831090937,0.8404142202570928,0.8754578208663139,0.8645956478162669,8815,19624,113754,28439,1231.0,42,2026-05-03
