combo,n_seeds,wimp_mean,wimp_std,n_no,n_ext,ci_half,ci_lo,ci_hi,decision
c4_Cloud9,5,-0.00021169450402617102,0.0004907833728374187,10732,17707,0.000609388044969239,-0.00082108254899541,0.000397693540943068,fail
c2_Evap,5,-0.0003173986427089497,0.0005684666972003494,12169,16270,0.0007058446320914758,-0.0010232432748004255,0.0003884459893825261,fail
c5_EvapCloud9,5,-0.0005334329617778428,0.000803203420220661,8815,19624,0.0009973087701221257,-0.0015307417318999685,0.0004638758083442829,fail
c3_Cloud3,5,-0.0006352980062590116,0.0008513406276470941,11419,17020,0.001057079007557595,-0.0016923770138166066,0.0004217810012985834,fail
c1_Sunshine,5,-0.0014473968845599577,0.0009641982759003062,13563,14876,0.0011972102863155524,-0.00264460717087551,-0.0002501865982444053,fail
c6_SunshineEvap,5,-0.0016959035127817432,0.0007193632384331089,11377,17062,0.0008932074347936632,-0.0025891109475754065,-0.00080269607798808,fail
