combo,n_seeds,wimp_mean,wimp_std,n_no,n_ext,ci_half,ci_lo,ci_hi,decision
c3_Gender,5,0.0007048643006263187,0.0022095499423276303,902,2930,0.002743518615621427,-0.002038654314995108,0.003448382916247746,fail
c4_MajorDisc,5,-0.00042180062630479633,0.0009694793940020528,563,3269,0.0012037676605327534,-0.0016255682868375498,0.000781967034227957,fail
c6_TypeAndGender,5,-0.0012949060542797608,0.0011762793176414215,341,3491,0.0014605436805470457,-0.0027554497348268063,0.00016563762626728494,fail
c2_CompanySize,5,-0.0015889352818371616,0.004368353235056356,1188,2644,0.005424026943406432,-0.007012962225243594,0.0038350916615692704,fail
c1_CompanyType,5,-0.001893131524008373,0.003158273263063862,1228,2604,0.003921514207235931,-0.005814645731244304,0.0020283826832275574,fail
c5_TypeAndSize,5,-0.008525553235908147,0.0026392112802598074,1072,2760,0.0032770136303518736,-0.01180256686626002,-0.0052485396055562735,fail
