dataset,combo_name,ext_features,n_ext_features,ext_null_pct,trials,pruning_mode,base_auc,ext_auc,comb_no_auc,comb_ext_auc,objective,n_no_ext,n_ext,n_rows,label_name,label_0_count,label_1_count,label_1_pct,source,date
FlightDelay,OP_CARRIER_FL_NUM ext,OP_CARRIER_FL_NUM,1,30.0,30,optuna,0.7491,0.7194,0.7429,0.7170,-0.003518,6011,13989,100000,DEP_DEL15,82717,17283,17.3,30t structured sweep+ablation cluster,2026-04-11
FlightDelay,OP_CARRIER_FL_NUM ext,OP_CARRIER_FL_NUM,1,30.0,30,no_pruning,0.7491,0.7191,0.7429,0.7170,-0.003300,6011,13989,100000,DEP_DEL15,82717,17283,17.3,30t structured ablation cluster,2026-04-11
FlightDelay,OP_CARRIER_FL_NUM ext,OP_CARRIER_FL_NUM,1,30.0,30,fixed_50,0.7491,0.7101,0.7429,0.7170,0.002995,6011,13989,100000,DEP_DEL15,82717,17283,17.3,30t structured ablation cluster,2026-04-11
