combo,n_seeds,wimp_mean,wimp_std,n_no,n_ext,ci_half,ci_lo,ci_hi,decision
c3_Glu,5,0.002436845828829778,0.0016026057730289356,19284,1070,0.001989897891683546,0.00044694793714623177,0.004426743720513324,PASS (lower CI > 0)
c6_A1CplusGlu,5,0.001431579050800859,0.00032968383545646794,15940,4414,0.0004093565492760307,0.0010222225015248283,0.0018409356000768898,PASS (lower CI > 0)
c1_A1Conly,5,0.00044662474206543694,0.0012549129167575477,16951,3403,0.001558180189618727,-0.00111155544755329,0.0020048049316841636,fail
c2_MSonly,5,-0.0014374275326716965,0.001368017061871857,9990,10364,0.0016986175346547794,-0.0031360450673264756,0.00026119000198308287,fail
c5_MSplusA1C,5,-0.0018101434607448064,0.0020190555290681067,8389,11965,0.0025069885608181262,-0.004317132021562932,0.0006968451000733198,fail
c4_Payer,5,-0.00200780976712196,0.0008665703871303251,8051,12303,0.001075989251609225,-0.003083799018731185,-0.0009318205155127348,fail
